category,rule,description,severity,content_type,example_violation
Ethnic and Racial,Language sensitivity,"Advertisements in Bahasa Malaysia, Mandarin, Tamil, or English must avoid words or phrases that are offensive in any of Malaysia's major languages.",Medium,text,"Using Malay words that are homonyms for vulgar terms"
Ethnic and Racial,No ethnic superiority claims,"Content must not imply that any one ethnic group is superior to others in intelligence, work ethic, or cultural value.",High,text,"Ad implying one race is smarter or harder-working"
Sexual and Explicit,No explicit sexual content,"Advertisements must not contain nudity, sexual acts, or overtly sexual imagery that violates Malaysian decency standards.",High,image,"Fully nude or semi-nude models in non-relevant contexts"
Sexual and Explicit,Modest dress standards,"Human figures in advertisements should be depicted in attire that aligns with Malaysian cultural norms of modesty.",Medium,image,"Bikini models used to sell electronics"
Sexual and Explicit,No sexualization of minors,"Absolutely no content that sexualizes or could be interpreted as sexualizing children or minors.",High,image,"Children in suggestive poses or adult-like clothing"
Sexual and Explicit,Appropriate intimacy depiction,"Romantic or intimate scenes must be tasteful and appropriate, avoiding explicit kissing, groping, or suggestive positioning.",Medium,video,"Graphic kissing scenes in a food advertisement"
Sexual and Explicit,Gender-appropriate messaging,"Content must not objectify any gender or reduce individuals to their physical appearance for commercial gain.",Medium,text,"'Hot girls sell more cars' style messaging"
LGBTQ Content,No disparaging LGBTQ portrayal,"While Malaysia has conservative views, content must not actively disparage, threaten, or promote violence against LGBTQ individuals.",Medium,text,"Ads using homophobic slurs or promoting conversion therapy"
LGBTQ Content,Avoid promotion of LGBTQ lifestyle,"Per Malaysian regulations, advertisements should not actively promote LGBTQ lifestyles or relationships as this conflicts with local laws and cultural norms.",Medium,image,"Same-sex couples used in romantic product advertising"
Profanity and Vulgar,No profanity in any language,"Content must not include profanity, vulgar language, or offensive slang in Bahasa Malaysia, English, Mandarin, Tamil, or any other language.",Medium,text,"Using 'bodoh', 'sial', or equivalent vulgar terms"
Profanity and Vulgar,No vulgar gestures,"Visual content must not depict obscene gestures (middle finger, etc.) or imagery that is considered vulgar in Malaysian culture.",Medium,image,"Models making obscene hand gestures"
Profanity and Vulgar,No double entendres,"Wordplay or slogans must not contain sexual double meanings or innuendos that could be considered vulgar or inappropriate.",Medium,text,"Suggestive product names or taglines with sexual undertones"
Political and State,No insult to royalty,"Content must not insult, ridicule, or disrespect the Yang di-Pertuan Agong, state sultans, or any member of Malaysia's royal families.",High,text,"Satirical content mocking the King or sultans"
Political and State,No seditious content,"Advertisements must not contain content that could be considered seditious under the Sedition Act, including undermining government authority or national unity.",High,text,"Calls to overthrow the government or incite unrest"
Political and State,Respect national symbols,"The Jalur Gemilang (Malaysian flag), Rukun Negara, and national anthem must be treated with respect and not used inappropriately in commercial contexts.",High,image,"Distorting or defacing the Malaysian flag in ads"
Political and State,No extremist content,"Content must not promote terrorism, extremism, or any form of political violence.",High,text,"Glorifying or justifying violent political acts"
Political and State,Respect for Malay special rights,"Content must not question or undermine the special position of Malays and Bumiputera as enshrined in the Federal Constitution (Article 153).",High,text,"Ad content challenging constitutional provisions"
Cultural Sensitivity,Respect for adat (customs),"Advertisements must respect Malay adat (customs and traditions), including proper forms of greeting, hospitality, and social etiquette.",Medium,text,"Showing left hand used for giving/receiving (considered rude)"
Cultural Sensitivity,Food taboos awareness,"Content must be aware of dietary restrictions across ethnic groups — halal for Muslims, vegetarianism for some Hindus and Buddhists.",Medium,image,"Showing beef to Hindu audience or pork to Muslim audience"
Cultural Sensitivity,Appropriate festival representation,"When depicting Malaysian festivals, advertisements must use accurate cultural representations and avoid mixing up or misattributing customs.",Medium,video,"Mixing up Deepavali and Chinese New Year customs"
Cultural Sensitivity,Sensitivity to East Malaysia,"Content must include and respect the cultural practices of Sabah and Sarawak communities, not just Peninsular Malaysia.",Medium,text,"Implying 'Malaysian culture' only means Peninsular customs"
Cultural Sensitivity,Respect for elderly,"Malaysian culture places high value on respecting elders; advertisements must not depict elderly people disrespectfully or as burdens.",Medium,video,"Ads portraying elderly as technologically incompetent for laughs"
Cultural Sensitivity,Wedding and marriage customs,"Advertisements referencing weddings must respect the diverse marriage customs across Malay, Chinese, Indian, and indigenous communities.",Medium,image,"Using Malay wedding attire for a non-Malay wedding context"
Cultural Sensitivity,Superstition sensitivity,"While Malaysia is modern, many communities hold traditional beliefs; content should not mock superstitions or traditional practices.",Low,text,"Mocking beliefs in bomohs or feng shui"
Cultural Sensitivity,Head-touching taboo,"In Malay culture, touching someone's head is considered disrespectful; advertisements should avoid showing this.",Medium,image,"Ad showing someone casually touching a Malay person's head"
Advertising Standards,No misleading health claims,"Health-related advertisements must comply with Malaysian advertising standards and not make unsubstantiated health claims.",High,text,"'This supplement cures cancer' without medical evidence"
Advertising Standards,No exploitation of fear,"Advertisements must not exploit fear, anxiety, or superstition to pressure consumers into purchasing products.",Medium,text,"'Buy this or face bad luck' style messaging"
Advertising Standards,Children protection,"Advertisements directed at or featuring children must comply with strict Malaysian standards for protecting minors.",High,video,"Pressuring children to demand products from parents"
Advertising Standards,No gambling promotion,"Advertisements must not promote gambling or betting services to the general Malaysian public, especially Muslim audiences.",High,text,"Online betting ads targeted at Malaysian Muslims"
Advertising Standards,Alcohol advertising restrictions,"Alcohol advertisements must not target Muslim audiences and must comply with strict time, placement, and content restrictions.",High,image,"Beer ads placed near mosques or prayer rooms"
Advertising Standards,Tobacco advertising ban,"All forms of tobacco advertising are banned in Malaysia under the Control of Tobacco Product Regulations.",High,text,"Any advertisement promoting cigarettes or vaping products"
Advertising Standards,No comparison advertising,"Advertisements should not unfairly disparage or compare competitors' products in a misleading manner.",Medium,text,"'Brand X is terrible, use our product instead'"
Advertising Standards,Price transparency,"Advertisements must display accurate pricing including GST/SST where applicable and not use deceptive pricing tactics.",Medium,text,"Hidden fees or misleading 'from RM X' pricing"
National Unity,Promote harmony,"Advertisements should promote racial harmony and national unity consistent with the Rukun Negara principles.",Low,text,"Content that could be seen as divisive between ethnic groups"
National Unity,Bahasa Malaysia respect,"While multilingual ads are acceptable, Bahasa Malaysia as the national language should be given appropriate prominence and respect.",Low,text,"Ads that completely ignore Bahasa Malaysia in Malaysia"
National Unity,Avoid divisive content,"Content must not exploit racial, religious, or regional tensions for commercial benefit or sensationalism.",High,text,"Using racial tensions as a marketing angle"
National Unity,Support for national integration,"Advertisements ideally should reflect Malaysia's multicultural, multi-religious society in a positive and integrated manner.",Low,image,"Ads showing diverse Malaysian communities working together"
National Unity,Avoid political exploitation,"Advertisements must not use political issues, controversies, or partisan positions to sell products or services.",Medium,text,"Using political slogans or party symbols in ads"
