market,ethnicity,age_group,category,severity,guideline_text
malaysia,chinese,all_ages,number_symbolism,medium,"The number 14 (sounds like 'sure to die') and 44 must be avoided in all numerical displays in advertisements targeting Chinese audiences including floor numbers, unit counts, and pricing."
malaysia,chinese,all_ages,color_symbolism,medium,"White is associated with mourning and funerals in Chinese culture and should not be used as a dominant celebratory color in advertisements. Avoid all-white packaging or backgrounds for festive or joyous occasions."
malaysia,chinese,all_ages,color_symbolism,low,"Red signifies prosperity, good fortune, and celebration in Chinese culture. Using red in advertisements during festive seasons like Chinese New Year is strongly encouraged and culturally appropriate."
malaysia,chinese,all_ages,color_symbolism,medium,"Black combined with white in advertisements targeting Chinese audiences may evoke funeral associations. Avoid black-and-white color schemes for celebratory or gift-related products."
malaysia,chinese,all_ages,ancestral_respect,high,"Ancestral tablets, family altars, and memorial items must not be used as props or decorative elements in commercial advertisements. These items hold deep spiritual significance and must be treated with reverence."
malaysia,chinese,all_ages,ancestral_respect,medium,"Elderly Chinese individuals must not be depicted in undignified, foolish, or disrespectful situations in advertisements. Elders represent wisdom and family authority in Chinese culture."
malaysia,chinese,all_ages,ancestral_respect,medium,"Qing Ming (Tomb Sweeping) imagery including joss paper, incense, and grave offerings must not be used in commercial contexts or as visual metaphors in advertisements targeting Chinese audiences."
malaysia,chinese,all_ages,food_taboos,medium,"Food offerings context must be respected in advertisements. Items traditionally used as ancestral offerings (oranges, roast pork, rice) should not be depicted in disrespectful or wasteful scenarios."
malaysia,chinese,all_ages,food_taboos,low,"During the Nine Emperor Gods vegetarian festival period, advertisements for meat products should be scheduled sensitively and not prominently feature meat consumption imagery."
malaysia,chinese,all_ages,religious_sensitivity,high,"Taoist and Buddhist religious symbols, deity statues, and temple imagery must not be used as decorative elements or commercial props in advertisements. Sacred items require respectful contextual placement."
malaysia,chinese,all_ages,religious_sensitivity,medium,"Buddhist monks and Taoist priests must not be depicted endorsing commercial products or participating in secular commercial activities in advertisements targeting Chinese audiences."
malaysia,chinese,all_ages,superstitions,low,"Advertisements should avoid showing chopsticks stuck vertically in rice bowls as this resembles incense sticks at funerals and is considered a death omen in Chinese culture."
malaysia,chinese,children,number_symbolism,medium,"Children's educational products targeting Chinese audiences should avoid using the number 4 in counting exercises, product sets, or packaging quantities. Prefer numbers 6, 8, or 9 instead."
malaysia,indian,all_ages,religious_sensitivity,high,"Hindu deities and sacred symbols such as Om, Swastika, Trishul, and Lotus must not be placed on footwear, floor materials, or below waist level in advertisements. They must not be used to sell alcohol or meat products."
malaysia,indian,all_ages,religious_sensitivity,high,"Temple imagery and sacred architecture must not be used as casual backdrops for commercial products. Hindu temples, prayer rooms, and sacred spaces require contextually respectful depiction."
malaysia,indian,all_ages,religious_sensitivity,medium,"The sacred lamp (vilakku/deepam) must not be depicted in extinguished state or used as a mere decorative prop. It symbolizes divine presence and knowledge in Hindu tradition."
malaysia,indian,all_ages,food_taboos,high,"Beef and beef-derived products must not be shown in contexts targeting Hindu audiences. Cow imagery must be treated with reverence as the cow is considered sacred in Hinduism."
malaysia,indian,all_ages,food_taboos,high,"Advertisements must not show beef consumption, beef cooking, or beef products when targeting Indian Hindu audiences. This includes leather products explicitly marketed as cow-leather."
malaysia,indian,all_ages,food_taboos,medium,"During major Hindu festival periods (Navratri, Maha Shivaratri), advertisements should avoid prominently featuring non-vegetarian food. Many Hindu families observe strict vegetarianism during these periods."
malaysia,indian,all_ages,caste_sensitivity,high,"Advertisements must not depict occupational stereotyping based on caste associations. Avoid showing Indian individuals exclusively in service roles or hierarchical employment scenarios."
malaysia,indian,all_ages,caste_sensitivity,medium,"Advertisements must not reference or imply caste-based hierarchies, untouchability concepts, or social stratification based on birth. All Indian individuals must be depicted with equal dignity."
malaysia,indian,all_ages,caste_sensitivity,medium,"Avoid depicting Indian families in rigid hierarchical structures that reinforce caste stereotypes. Modern Indian families should be shown in egalitarian and progressive contexts."
malaysia,indian,all_ages,color_symbolism,medium,"Saffron (kesari) holds deep religious significance in Hinduism representing sacrifice and purity. It must not be used frivolously or in contexts that may be seen as disrespectful to Hindu religious sentiment."
malaysia,indian,all_ages,color_symbolism,low,"White in Indian culture represents mourning and is worn at funerals. Avoid using all-white attire on Indian models in celebratory or festive advertisement contexts."
malaysia,indian,all_ages,color_symbolism,medium,"Vermillion (kumkum/sindoor) red is sacred and associated with married Hindu women. It must not be used in contexts that trivialize marriage or depict it disrespectfully."
malaysia,indian,all_ages,ancestral_respect,medium,"Elderly Indian individuals must be depicted with respect and dignity. Showing elders in subservient, confused, or undignified positions is culturally offensive to Indian audiences."
malaysia,indian,all_ages,ancestral_respect,medium,"Family hierarchy and respect for elders must be maintained in advertisement narratives targeting Indian audiences. Younger family members should not be shown disrespecting or overriding elder authority."
malaysia,indian,all_ages,gender_norms,medium,"Married woman symbols such as mangalsutra (sacred necklace) and sindoor (vermillion in hair parting) must not be used as fashion accessories or commercial props in advertisements."
malaysia,indian,all_ages,gender_norms,medium,"The bindi (forehead dot) has religious and cultural significance beyond fashion. Advertisements must not depict it as merely a fashion trend or use it on non-Indian models as an exotic accessory."
malaysia,indian,all_ages,gender_norms,low,"Traditional Indian women's attire (saree, salwar kameez) should be depicted respectfully in advertisements. Avoid sexualizing traditional garments or showing them in inappropriate contexts."
malaysia,indian,children,religious_sensitivity,high,"Children's products targeting Indian audiences must not use Hindu deity imagery as cartoon characters or playful mascots. Deities like Ganesha and Krishna must be depicted with appropriate reverence."
singapore,malay,all_ages,body_exposure,high,"Female aurat must be respected in advertisements targeting Singaporean Malay audiences. Hair, arms above elbow, and legs above knee should not be shown uncovered despite Singapore's multicultural context."
singapore,malay,all_ages,religious_sensitivity,high,"Islamic religious symbols and mosque imagery must be treated with respect in advertisements targeting Singaporean Malay audiences. Commercial use of religious elements requires cultural sensitivity."
singapore,malay,all_ages,suggestive_content,high,"Physical intimacy between unrelated males and females must not be depicted in advertisements targeting Singaporean Malay audiences. This includes casual touching, embracing, and suggestive proximity."
singapore,malay,all_ages,halal_compliance,medium,"Products advertised to Singaporean Malay audiences should reference halal certification where applicable. Non-halal ingredients in cosmetics and personal care items should be clearly disclosed."
singapore,malay,all_ages,food_taboos,high,"Alcohol and pork products must not appear in advertisements targeting Singaporean Malay audiences. Cross-contamination imagery such as halal food near alcohol is also inappropriate."
singapore,malay,all_ages,modesty,medium,"Modest dress standards should be maintained in advertisements targeting Singaporean Malay audiences. While standards may be slightly more relaxed than Malaysia, core modesty principles remain important."
singapore,chinese,all_ages,number_symbolism,medium,"The number 4 should be avoided in pricing and quantities in advertisements targeting Singaporean Chinese audiences. The death association (si) remains culturally significant in Singapore's Chinese community."
singapore,chinese,all_ages,color_symbolism,medium,"White remains associated with mourning in Singaporean Chinese culture. Avoid dominant white themes for celebratory products. Red continues to signify prosperity and good fortune."
singapore,chinese,all_ages,superstitions,medium,"Gift-giving taboos apply in Singaporean Chinese context. Clocks, scissors, and shoes should not be depicted as gifts in advertisements as they carry negative symbolic meanings."
singapore,chinese,all_ages,ancestral_respect,medium,"Ancestral worship items and practices must be depicted respectfully in advertisements targeting Singaporean Chinese audiences. Joss paper, incense, and altar items are not commercial props."
singapore,chinese,all_ages,religious_sensitivity,medium,"Buddhist and Taoist religious imagery must be treated with respect in advertisements targeting Singaporean Chinese audiences. Temple imagery and monk depictions require appropriate reverence."
singapore,chinese,all_ages,food_taboos,low,"During Hungry Ghost Festival month, advertisements should be sensitive to Chinese spiritual practices. Avoid scheduling major product launches or celebratory campaigns during this period."
singapore,indian,all_ages,religious_sensitivity,high,"Hindu deities and sacred symbols must not be placed on footwear, floor items, or below waist level in advertisements targeting Singaporean Indian audiences. They must not be used to promote alcohol or meat."
singapore,indian,all_ages,food_taboos,high,"Beef and beef-derived products must not be shown targeting Singaporean Hindu Indian audiences. Cow imagery must be treated with reverence consistent with Hindu beliefs."
singapore,indian,all_ages,caste_sensitivity,medium,"Advertisements targeting Singaporean Indian audiences must avoid occupational stereotyping or hierarchical depictions that may reinforce caste-based assumptions about Indian communities."
singapore,indian,all_ages,color_symbolism,medium,"Saffron and vermillion colors hold religious significance for Singaporean Indian Hindu audiences. These colors must not be used in contexts that trivialize their sacred meaning."
singapore,indian,all_ages,ancestral_respect,medium,"Elderly Indian individuals must be depicted with dignity and respect in advertisements targeting Singaporean Indian audiences. Elder authority and family hierarchy should be portrayed positively."
singapore,indian,all_ages,gender_norms,medium,"Sacred married woman symbols (mangalsutra, sindoor, toe rings) must not be commercialized or used as fashion props in advertisements targeting Singaporean Indian audiences."
malaysia,all,all_ages,body_exposure,high,"Visible armpits are strictly prohibited in advertisements across all ethnicities in Malaysia. Models must wear clothing with sleeves that cover the underarm area completely to comply with general modesty expectations. This rule applies regardless of gender and includes any form of raising arms that exposes the underarm. Furthermore, any suggestion of armpit exposure, such as sheer or transparent fabrics in the underarm region, is also considered a violation of this modesty guideline and will lead to severe penalties."
